deuda,sectorEconomico,periodo,tipoEntidad,entidad,tipoIndicador,indicador
256918.63,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
328739.76,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",2018-01,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
391668.9,B - PESCA,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
499480.23,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
948394.26,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",2018-01,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
1291661.95,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
3660239.94,B - PESCA,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
4849290.32,Y - CONSUMO DE BIENES Y SERVICIOS,2018-01,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
4891089.78,C - EXPLOTACIÓN DE MINAS Y CANTERAS,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
5000000.0,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,2018-01,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
7080654.43,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
10875894.829999998,M - ENSEÑANZA,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
13935270.23,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
14417402.259999998,B - PESCA,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
16911898.36,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
23153477.0,H - ALOJAMIENTO Y SERVICIOS DE COMIDA,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
23612996.939999998,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,2018-01,ENTIDADES PÚBLICAS DE INTERMEDIACIÓN FINANCIERA,TODOS,Cartera de credito,Cartera de credito
24545881.490000002,C - EXPLOTACIÓN DE MINAS Y CANTERAS,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
27787145.45,"E - SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO",2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
35500084.32,L - ADMINISTRACIÓN PÚBLICA Y DEFENSA: PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
41520473.69,Z - COMPRA Y REMODELACIÓN DE VIVIENDAS,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
41522545.91,"A - AGRICULTURA, GANADERÍA, CAZA Y SILVICULTURA",2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
51231751.46,D - INDUSTRIA MANUFACTURERA,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
56674607.49,F - CONSTRUCCIÓN,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
63608763.210000016,I - TRANSPORTE Y ALMACENAMIENTO,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
72636490.12,C - EXPLOTACIÓN DE MINAS Y CANTERAS,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
72656056.23,M - ENSEÑANZA,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
74371065.53,M - ENSEÑANZA,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
79552584.02000001,"K - ACTIVIDADES INMOBILIARIAS, ALQUILER Y ACTIVIDADES EMPRESARIALES",2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
80227934.89999999,B - PESCA,2018-01,BANCOS MÚLTIPLES,TODOS,Cartera de credito,Cartera de credito
83271845.11999999,N - SERVICIOS SOCIALES Y RELACIONADOS CON LA SALUD HUMANA,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
98697246.0,B - PESCA,2018-01,TODOS,TODOS,Cartera de credito,Cartera de credito
120299473.63999996,Q - ACTIVIDADES DE ORGANIZACIONES Y ÓRGANOS EXTRATERRITORIALES,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
123125166.41,"P - ACTIVIDADES DE LOS HOGARES EN CALIDAD DE EMPLEADORES, ACTIVIDADES INDIFERENCIADAS DE PRODUCCIÓN DE BIENES Y SERVICIOS DE LOS HOGARES PARA USO PROPIO",2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
136694767.80999997,G - COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE LOS VEHÍCULOS DE MOTOR Y DE LAS MOTOCICLETAS,2018-01,CORPORACIONES DE CRÉDITO,TODOS,Cartera de credito,Cartera de credito
184247531.37999997,J - ACTIVIDADES FINANCIERAS Y DE SEGURO,2018-01,BANCOS DE AHORRO Y CRÉDITO,TODOS,Cartera de credito,Cartera de credito
191832174.72999996,I - TRANSPORTE Y ALMACENAMIENTO,2018-01,ASOCIACIONES DE AHORROS Y PRÉSTAMOS,TODOS,Cartera de credito,Cartera de credito
